Tanggal	Kasus harian	Kasus Impor	Kasus Lokal	Total kasus	Kasus aktif	% kasus aktif	"Sembuh (baru)"	Sembuh	Tingkat kesembuhan (seluruh kasus)	Tingkat kesembuhan (closed cases)	"Meninggal (baru)"
2-Mar	2	0	2	2	2	100.00%	0	0	0.00%	0	0
3-Mar	0	0	0	2	2	100.00%	0	0	0.00%		0
4-Mar	0	0	0	2	2	100.00%	0	0	0.00%		0
5-Mar	0	0	0	2	2	100.00%	0	0	0.00%		0
6-Mar	2	0	2	4	4	100.00%	0	0	0.00%		0
7-Mar	0	0	0	4	4	100.00%	0	0	0.00%		0
8-Mar	2	1	1	6	6	100.00%	0	0	0.00%		0
9-Mar	13	7	6	19	19	100.00%	0	0	0.00%		0
10-Mar	8	5	3	27	27	100.00%	0	0	0.00%		0
12-Mar	0	0	0	34	27	79.41%	1	3	8.82%	42.86%	2
13-Mar	35			69	60	86.96%	2	5	7.25%	55.56%	0
14-Mar	27			96	83	86.46%	3	8	8.33%	61.54%	1
15-Mar	21			117	104	88.89%	0	8	6.84%	61.54%	0
16-Mar	17			134	121	90.30%	0	8	5.97%	61.54%	0
17-Mar	38			172	156	90.70%	1	9	5.23%	56.25%	2
18-Mar	55			227	197	86.78%	2	11	4.85%	36.67%	12
19-Mar	82			309	269	87.06%	4	15	4.85%	37.50%	6
20-Mar	60			369	321	86.99%	1	16	4.34%	33.33%	7
21-Mar	81			450	392	87.11%	4	20	4.44%	34.48%	6
22-Mar	64			514	437	85.02%	9	29	5.64%	37.66%	10
23-Mar	65			579	500	86.36%	1	30	5.18%	37.97%	1
24-Mar	106			685	600	87.59%	0	30	4.38%	35.29%	6
25-Mar	105			790	701	88.73%	1	31	3.92%	34.83%	3
26-Mar	103			893	780	87.35%	4	35	3.92%	30.97%	20
27-Mar	153			1,046	913	87.28%	11	46	4.40%	34.59%	9
28-Mar	109			1,155	994	86.06%	13	59	5.11%	36.65%	15
29-Mar	130			1,285	1,107	86.15%	5	64	4.98%	35.96%	12
30-Mar	129			1,414	1,217	86.07%	11	75	5.30%	38.07%	8
31-Mar	114			1,528	1,311	85.80%	6	81	5.30%	37.33%	14
1-Apr	149			1,677	1,417	84.50%	22	103	6.14%	39.62%	21
2-Apr	113			1,790	1,508	84.25%	9	112	6.26%	39.72%	13
3-Apr	196			1,986	1,671	84.14%	22	134	6.75%	42.54%	11
4-Apr	106			2,092	1,751	83.70%	16	150	7.17%	43.99%	10
5-Apr	181			2,273	1,911	84.07%	14	164	7.22%	45.30%	7
6-Apr	218			2,491	2,090	83.90%	28	192	7.71%	47.88%	11
7-Apr	247			2,738	2,313	84.48%	12	204	7.45%	48.00%	12
8-Apr	218			2,956	2,494	84.37%	18	222	7.51%	48.05%	19
9-Apr	337			3,293	2,761	83.84%	30	252	7.65%	47.37%	40
10-Apr	219			3,512	2,924	83.26%	30	282	8.03%	47.96%	26
11-Apr	330			3,842	3,229	84.04%	4	286	7.44%	46.66%	21
12-Apr	399			4,241	3,509	82.74%	73	359	8.46%	49.04%	46
13-Apr	316			4,557	3,778	82.91%	21	380	8.34%	48.78%	26
14-Apr	282			4,839	3,954	81.71%	46	426	8.80%	48.14%	60
15-Apr	297			5,136	4,221	82.18%	20	446	8.68%	48.74%	10
16-Apr	380			5,516	4,472	81.07%	102	548	9.93%	52.49%	27
17-Apr	407			5,923	4,796	80.97%	59	607	10.25%	53.86%	24
18-Apr	325			6,248	5,082	81.34%	24	631	10.10%	54.12%	15
19-Apr	327			6,575	5,307	80.71%	55	686	10.43%	54.10%	47
20-Apr	185			6,760	5,423	80.22%	61	747	11.05%	55.87%	8
21-Apr	375			7,135	5,677	79.57%	95	842	11.80%	57.75%	26
22-Apr	283			7,418	5,869	79.12%	71	913	12.31%	58.94%	20
23-Apr	357			7,775	6,168	79.33%	47	960	12.35%	59.74%	11
24-Apr	436			8,211	6,520	79.41%	42	1,002	12.20%	59.25%	42
25-Apr	396			8,607	6,845	79.53%	40	1,042	12.11%	59.14%	31
26-Apr	275			8,882	7,032	79.17%	65	1,107	12.46%	59.84%	23
27-Apr	214			9,096	7,180	78.94%	44	1,151	12.65%	60.07%	22
28-Apr	415			9,511	7,484	78.69%	103	1,254	13.18%	61.86%	8
29-Apr	260			9,771	7,596	77.74%	137	1,391	14.24%	63.95%	11
30-Apr	347			10,118	7,804	77.13%	131	1,522	15.04%	65.77%	8
1-May	433			10,551	8,160	77.34%	69	1,591	15.08%	66.54%	8
2-May	292			10,843	8,347	76.98%	74	1,665	15.36%	66.71%	31
3-May	349			11,192	8,471	75.69%	211	1,876	16.76%	68.95%	14
4-May	395			11,587	8,769	75.68%	78	1,954	16.86%	69.34%	19
5-May	484			12,071	9,002	74.58%	243	2,197	18.20%	71.59%	8
6-May	367			12,438	9,226	74.18%	120	2,317	18.63%	72.14%	23
7-May	338			12,776	9,465	74.08%	64	2,381	18.64%	71.91%	35
8-May	336			13,112	9,675	73.79%	113	2,494	19.02%	72.56%	13
9-May	533			13,645	10,079	73.87%	113	2,607	19.11%	73.11%	16
10-May	387			14,032	10,361	73.84%	91	2,698	19.23%	73.49%	14
11-May	233			14,265	10,393	72.86%	183	2,881	20.20%	74.41%	18
12-May	484			14,749	10,679	72.40%	182	3,063	20.77%	75.26%	16
13-May	689			15,438	11,123	72.05%	224	3,287	21.29%	76.18%	21
14-May	568			16,006	11,445	71.50%	231	3,518	21.98%	77.13%	15
15-May	490			16,496	11,617	70.42%	285	3,803	23.05%	77.95%	33
16-May	529			17,025	12,025	70.63%	108	3,911	22.97%	78.22%	13
